,id,start,end,gene_name,product,strand,locus_tag,interval
9205,cds-WP_014603958.1,4910473,4912956,,helix-turn-helix transcriptional regulator,-,NCGM2_RS22580,"[4910473, 4912956]"
9207,cds-WP_003091862.1,4913106,4914476,,DUF1329 domain-containing protein,-,NCGM2_RS22585,"[4913106, 4914476]"
9209,cds-WP_003091863.1,4914533,4916290,,DUF1302 domain-containing protein,-,NCGM2_RS22590,"[4914533, 4916290]"
9211,cds-WP_003119583.1,4916575,4917318,,helix-turn-helix domain-containing protein,+,NCGM2_RS22595,"[4916575, 4917318]"
9213,cds-WP_003091865.1,4917409,4918815,,FAD-dependent oxidoreductase,+,NCGM2_RS22600,"[4917409, 4918815]"
9215,cds-WP_003091873.1,4918850,4919194,,cupin domain-containing protein,+,NCGM2_RS22605,"[4918850, 4919194]"
9217,cds-WP_003091874.1,4919214,4919984,,crotonase/enoyl-CoA hydratase family protein,-,NCGM2_RS22610,"[4919214, 4919984]"
9219,cds-WP_003091875.1,4920101,4921012,,SDR family oxidoreductase,-,NCGM2_RS22615,"[4920101, 4921012]"
9221,cds-WP_003091876.1,4921128,4921421,,hypothetical protein,-,NCGM2_RS22620,"[4921128, 4921421]"
9223,cds-WP_003091877.1,4921520,4922416,,alpha/beta hydrolase,-,NCGM2_RS22625,"[4921520, 4922416]"
9225,cds-WP_003091880.1,4922413,4923192,,class II aldolase/adducin family protein,-,NCGM2_RS22630,"[4922413, 4923192]"
9227,cds-WP_003091883.1,4923321,4924007,,LrgB family protein,-,NCGM2_RS22635,"[4923321, 4924007]"
9229,cds-WP_003091885.1,4923994,4924383,,CidA/LrgA family protein,-,NCGM2_RS22640,"[4923994, 4924383]"
9231,cds-WP_003091888.1,4924479,4925372,,LysR family transcriptional regulator,+,NCGM2_RS22645,"[4924479, 4925372]"
9233,cds-WP_003091890.1,4925612,4926064,,flavodoxin,-,NCGM2_RS22650,"[4925612, 4926064]"
9235,cds-WP_003091893.1,4926344,4926901,,hypothetical protein,+,NCGM2_RS22655,"[4926344, 4926901]"
9237,cds-WP_003091895.1,4927012,4927716,folM,dihydromonapterin reductase,+,NCGM2_RS22660,"[4927012, 4927716]"
9239,cds-WP_003091896.1,4927734,4928294,folE,GTP cyclohydrolase I FolE,+,NCGM2_RS22665,"[4927734, 4928294]"
9241,cds-WP_003091897.1,4928296,4928667,folX,dihydroneopterin triphosphate 2'-epimerase,+,NCGM2_RS22670,"[4928296, 4928667]"
9243,cds-WP_003091898.1,4928796,4929107,,DUF1244 domain-containing protein,+,NCGM2_RS22675,"[4928796, 4929107]"
9245,cds-WP_003091899.1,4929159,4929497,,HopJ type III effector protein,+,NCGM2_RS22680,"[4929159, 4929497]"
9247,cds-WP_003091900.1,4929677,4929892,,molybdopterin-binding protein,-,NCGM2_RS22685,"[4929677, 4929892]"
9249,cds-WP_003119579.1,4929933,4930757,ssuB,aliphatic sulfonates ABC transporter ATP-binding protein,-,NCGM2_RS22690,"[4929933, 4930757]"
9251,cds-WP_003091909.1,4930754,4931542,ssuC,aliphatic sulfonate ABC transporter permease SsuC,-,NCGM2_RS22695,"[4930754, 4931542]"
9253,cds-WP_003091910.1,4931563,4932711,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,-,NCGM2_RS22700,"[4931563, 4932711]"
9255,cds-WP_003091913.1,4932789,4933760,,sulfonate ABC transporter substrate-binding protein,-,NCGM2_RS22705,"[4932789, 4933760]"
9257,cds-WP_003091915.1,4933879,4934472,ssuE,NADPH-dependent FMN reductase,-,NCGM2_RS22710,"[4933879, 4934472]"
9259,cds-WP_003091922.1,4934626,4935375,,ABC transporter ATP-binding protein,-,NCGM2_RS22715,"[4934626, 4935375]"
9261,cds-WP_003091924.1,4935372,4936196,,ABC transporter permease,-,NCGM2_RS22720,"[4935372, 4936196]"
9263,cds-WP_003091926.1,4936200,4937204,,aliphatic sulfonate ABC transporter substrate-binding protein,-,NCGM2_RS22725,"[4936200, 4937204]"
9265,cds-WP_003091927.1,4937455,4938093,,peroxiredoxin,-,NCGM2_RS22730,"[4937455, 4938093]"
9267,cds-WP_003091929.1,4938299,4938508,,hypothetical protein,+,NCGM2_RS22735,"[4938299, 4938508]"
9269,cds-WP_003091930.1,4938711,4940282,,malate:quinone oxidoreductase,+,NCGM2_RS22740,"[4938711, 4940282]"
9271,cds-WP_003091932.1,4940506,4941171,,YceH family protein,-,NCGM2_RS22745,"[4940506, 4941171]"
9273,cds-WP_003091933.1,4941300,4942484,,thiolase family protein,-,NCGM2_RS22750,"[4941300, 4942484]"
9275,cds-WP_003091935.1,4942637,4944127,pap,polyphosphate:AMP phosphotransferase,-,NCGM2_RS22755,"[4942637, 4944127]"
9277,cds-WP_003091936.1,4944153,4944272,,hypothetical protein,-,NCGM2_RS32425,"[4944153, 4944272]"
9279,cds-WP_009877540.1,4944271,4946235,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,+,NCGM2_RS22760,"[4944271, 4946235]"
9281,cds-WP_003117537.1,4946336,4947088,,sulfite exporter TauE/SafE family protein,+,NCGM2_RS22765,"[4946336, 4947088]"
9283,cds-WP_003091943.1,4947331,4947804,,MarR family transcriptional regulator,-,NCGM2_RS22770,"[4947331, 4947804]"
9285,cds-WP_003091946.1,4947947,4949716,,N-acetylglutaminylglutamine amidotransferase,+,NCGM2_RS22775,"[4947947, 4949716]"
9287,cds-WP_003091949.1,4949757,4951514,ngg,N-acetylglutaminylglutamine synthetase,+,NCGM2_RS22780,"[4949757, 4951514]"
9289,cds-WP_003091951.1,4951511,4952707,,osmoprotectant NAGGN system M42 family peptidase,+,NCGM2_RS22785,"[4951511, 4952707]"
9291,cds-WP_003091954.1,4952844,4955600,,hybrid sensor histidine kinase/response regulator,+,NCGM2_RS22790,"[4952844, 4955600]"
9293,cds-WP_003091959.1,4955651,4955881,,YheU family protein,+,NCGM2_RS22795,"[4955651, 4955881]"
9295,cds-WP_003091964.1,4955999,4957324,,phospholipase,-,NCGM2_RS22800,"[4955999, 4957324]"
9297,cds-WP_003091965.1,4957541,4959256,,MFS transporter,+,NCGM2_RS22805,"[4957541, 4959256]"
9299,cds-WP_023098467.1,4959327,4960667,,DEAD/DEAH box helicase,-,NCGM2_RS22810,"[4959327, 4960667]"
9301,cds-WP_003091973.1,4960853,4962220,,MFS transporter,+,NCGM2_RS22815,"[4960853, 4962220]"
9303,cds-WP_003091979.1,4962387,4963715,,mechanosensitive ion channel family protein,+,NCGM2_RS22820,"[4962387, 4963715]"
9305,cds-WP_003091983.1,4963733,4964275,,dihydrofolate reductase,+,NCGM2_RS22825,"[4963733, 4964275]"
9307,cds-WP_003091985.1,4964272,4964730,,NUDIX domain-containing protein,+,NCGM2_RS22830,"[4964272, 4964730]"
9309,cds-WP_003091987.1,4964852,4966546,,NAD-dependent malic enzyme,-,NCGM2_RS22835,"[4964852, 4966546]"
9311,cds-WP_003103763.1,4967003,4967599,,C40 family peptidase,+,NCGM2_RS22840,"[4967003, 4967599]"
9313,cds-WP_003091995.1,4967620,4968519,rarD,EamA family transporter RarD,-,NCGM2_RS22845,"[4967620, 4968519]"
9315,cds-WP_003092000.1,4968516,4969376,,DMT family transporter,-,NCGM2_RS22850,"[4968516, 4969376]"
9317,cds-WP_003092003.1,4969470,4970276,,transporter substrate-binding domain-containing protein,-,NCGM2_RS22855,"[4969470, 4970276]"
9319,cds-WP_003092004.1,4970431,4971036,,GNAT family N-acetyltransferase,-,NCGM2_RS22860,"[4970431, 4971036]"
9321,cds-WP_003119559.1,4971216,4971941,sdiA,transcriptional regulator SdiA,-,NCGM2_RS22865,"[4971216, 4971941]"
9323,cds-WP_003092007.1,4972066,4973346,,glycosyltransferase,-,NCGM2_RS22870,"[4972066, 4973346]"
9325,cds-WP_003092013.1,4973412,4974299,,alpha/beta hydrolase,-,NCGM2_RS22875,"[4973412, 4974299]"
9327,cds-WP_003092017.1,4974723,4975289,,dCTP deaminase,-,NCGM2_RS22880,"[4974723, 4975289]"
9329,cds-WP_003092020.1,4975390,4976484,apbC,iron-sulfur cluster carrier protein ApbC,-,NCGM2_RS22885,"[4975390, 4976484]"
9331,cds-WP_003092021.1,4976615,4978651,metG,methionine--tRNA ligase,+,NCGM2_RS22890,"[4976615, 4978651]"
9333,cds-WP_003092024.1,4978685,4979485,,DUF4349 domain-containing protein,+,NCGM2_RS22895,"[4978685, 4979485]"
9335,cds-WP_003092026.1,4979572,4980798,,hypothetical protein,+,NCGM2_RS22900,"[4979572, 4980798]"
9337,cds-WP_003092029.1,4980795,4981232,,hypothetical protein,+,NCGM2_RS22905,"[4980795, 4981232]"
9339,cds-NCGM2_RS22910,4981527,4983310,tssI,type VI secretion system tip protein VgrG,+,NCGM2_RS22910,"[4981527, 4983310]"
9341,cds-WP_003092035.1,4983314,4986613,,phospholipase D,+,NCGM2_RS22920,"[4983314, 4986613]"
9343,cds-WP_003092038.1,4986706,4987740,,hypothetical protein,+,NCGM2_RS22925,"[4986706, 4987740]"
9345,cds-WP_003092041.1,4987918,4988502,rsxA,electron transport complex subunit RsxA,+,NCGM2_RS22930,"[4987918, 4988502]"
9347,cds-WP_003092043.1,4988499,4989065,rsxB,electron transport complex subunit RsxB,+,NCGM2_RS22935,"[4988499, 4989065]"
9349,cds-WP_014603961.1,4989062,4991386,rsxC,electron transport complex subunit RsxC,+,NCGM2_RS22940,"[4989062, 4991386]"
9351,cds-WP_003092045.1,4991389,4992423,,RnfABCDGE type electron transport complex subunit D,+,NCGM2_RS22945,"[4991389, 4992423]"
9353,cds-WP_003092047.1,4992423,4993067,rsxG,electron transport complex subunit RsxG,+,NCGM2_RS22950,"[4992423, 4993067]"
9355,cds-WP_003092049.1,4993060,4993776,,electron transport complex subunit E,+,NCGM2_RS22955,"[4993060, 4993776]"
9357,cds-WP_003092050.1,4993773,4994411,nth,endonuclease III,+,NCGM2_RS22960,"[4993773, 4994411]"
9359,cds-WP_003092052.1,4994520,4994699,,hypothetical protein,+,NCGM2_RS22965,"[4994520, 4994699]"
9361,cds-WP_003092054.1,4994899,4995972,,methyltransferase domain-containing protein,-,NCGM2_RS22970,"[4994899, 4995972]"
9363,cds-WP_003092055.1,4996022,4997473,,adenylosuccinate lyase family protein,-,NCGM2_RS22975,"[4996022, 4997473]"
9365,cds-WP_014603964.1,4997473,4998906,purB,adenylosuccinate lyase,-,NCGM2_RS22980,"[4997473, 4998906]"
9367,cds-WP_003110004.1,4998937,4999923,,hypothetical protein,-,NCGM2_RS22985,"[4998937, 4999923]"
9369,cds-WP_003138125.1,4999956,5000993,,hypothetical protein,-,NCGM2_RS22990,"[4999956, 5000993]"
9371,cds-WP_162140467.1,5000884,5001165,,hypothetical protein,-,NCGM2_RS33055,"[5000884, 5001165]"
9373,cds-WP_003092060.1,5001394,5001588,,heavy-metal-associated domain-containing protein,-,NCGM2_RS22995,"[5001394, 5001588]"
9375,cds-WP_031640078.1,5001708,5001974,,hypothetical protein,-,NCGM2_RS32905,"[5001708, 5001974]"
9377,cds-WP_003092061.1,5002175,5003650,opmE,multidrug efflux transporter outer membrane subunit OpmE,-,NCGM2_RS23000,"[5002175, 5003650]"
9379,cds-WP_003092062.1,5003647,5006808,mexQ,multidrug efflux RND transporter permease subunit MexQ,-,NCGM2_RS23005,"[5003647, 5006808]"
9381,cds-WP_003117521.1,5006805,5007962,mexP,multidrug efflux RND transporter periplasmic adaptor subunit MexP,-,NCGM2_RS23010,"[5006805, 5007962]"
9383,cds-WP_003110007.1,5008338,5008724,gloA,lactoylglutathione lyase,+,NCGM2_RS23015,"[5008338, 5008724]"
9385,cds-WP_003092065.1,5008816,5010033,,argininosuccinate synthase,-,NCGM2_RS23020,"[5008816, 5010033]"
9387,cds-WP_003092066.1,5010151,5011116,,OmpA family protein,-,NCGM2_RS23025,"[5010151, 5011116]"
9389,cds-WP_003092068.1,5011248,5012294,pyrC,dihydroorotase,+,NCGM2_RS23030,"[5011248, 5012294]"
9391,cds-WP_003092070.1,5012291,5012965,rnt,ribonuclease T,+,NCGM2_RS23035,"[5012291, 5012965]"
9393,cds-WP_003092073.1,5013144,5013746,,peroxiredoxin C,-,NCGM2_RS23040,"[5013144, 5013746]"
9395,cds-WP_003092075.1,5014007,5014228,,bacterioferritin-associated ferredoxin,+,NCGM2_RS23045,"[5014007, 5014228]"
9397,cds-WP_003092078.1,5014438,5014914,bfr,bacterioferritin,+,NCGM2_RS23050,"[5014438, 5014914]"
9399,cds-WP_003092080.1,5014982,5016133,,MFS transporter,-,NCGM2_RS23055,"[5014982, 5016133]"
9401,cds-WP_003092082.1,5016216,5016542,grxD,Grx4 family monothiol glutaredoxin,-,NCGM2_RS23060,"[5016216, 5016542]"
9403,cds-WP_003092084.1,5016655,5018763,,molybdopterin oxidoreductase family protein,-,NCGM2_RS23065,"[5016655, 5018763]"
9405,cds-WP_003092086.1,5019062,5022049,,autotransporter domain-containing protein,+,NCGM2_RS23070,"[5019062, 5022049]"
9407,cds-WP_031629616.1,5022443,5022910,,hypothetical protein,-,NCGM2_RS23075,"[5022443, 5022910]"
9409,cds-WP_003092090.1,5023190,5024107,argF,ornithine carbamoyltransferase,+,NCGM2_RS23080,"[5023190, 5024107]"
9411,cds-WP_003092092.1,5024112,5025194,,ABC transporter ATP-binding protein,+,NCGM2_RS23085,"[5024112, 5025194]"
9413,cds-WP_003092094.1,5025301,5026080,yaaA,peroxide stress protein YaaA,+,NCGM2_RS23090,"[5025301, 5026080]"
9415,cds-WP_003110461.1,5026982,5028292,,UDP-glucose/GDP-mannose dehydrogenase family protein,+,NCGM2_RS23095,"[5026982, 5028292]"
9417,cds-WP_003119545.1,5028432,5029916,,glycosyltransferase family 2 protein,+,NCGM2_RS23100,"[5028432, 5029916]"
9419,cds-WP_003092101.1,5029999,5031168,,HlyD family efflux transporter periplasmic adaptor subunit,+,NCGM2_RS23105,"[5029999, 5031168]"
9421,cds-WP_003092103.1,5031182,5032609,,alginate biosynthesis protein AlgK,+,NCGM2_RS23110,"[5031182, 5032609]"
9423,cds-WP_003092105.1,5032606,5034078,,alginate export family protein,+,NCGM2_RS23115,"[5032606, 5034078]"
9425,cds-WP_003110465.1,5034099,5035730,,right-handed parallel beta-helix repeat-containing protein,+,NCGM2_RS23120,"[5034099, 5035730]"
9427,cds-WP_003092107.1,5035743,5037167,,alginate O-acetyltransferase,+,NCGM2_RS23125,"[5035743, 5037167]"
9429,cds-WP_003092108.1,5037171,5038274,,mannuronate-specific alginate lyase,+,NCGM2_RS23130,"[5037171, 5038274]"
9431,cds-WP_003110467.1,5038516,5040078,,MBOAT family protein,+,NCGM2_RS23135,"[5038516, 5040078]"
9433,cds-WP_003092111.1,5040093,5041268,,alginate O-acetylase,+,NCGM2_RS23140,"[5040093, 5041268]"
9435,cds-WP_003092112.1,5041341,5041991,,alginate O-acetyltransferase AlgF,+,NCGM2_RS23145,"[5041341, 5041991]"
9437,cds-WP_003092113.1,5042188,5043633,,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,+,NCGM2_RS23150,"[5042188, 5043633]"
9439,cds-WP_003092114.1,5044021,5045169,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,+,NCGM2_RS23155,"[5044021, 5045169]"
9441,cds-WP_003092115.1,5045166,5046185,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,+,NCGM2_RS23160,"[5045166, 5046185]"
9443,cds-WP_003092116.1,5046182,5048170,arnA,bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA,+,NCGM2_RS23165,"[5046182, 5048170]"
9445,cds-WP_003092117.1,5048167,5049054,,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase,+,NCGM2_RS23170,"[5048167, 5049054]"
9447,cds-WP_003092118.1,5049051,5050700,arnT,lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase,+,NCGM2_RS23175,"[5049051, 5050700]"
9449,cds-WP_014603965.1,5050697,5051044,,EamA family transporter,+,NCGM2_RS23180,"[5050697, 5051044]"
9451,cds-WP_003124269.1,5051041,5051454,arnF,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,+,NCGM2_RS23185,"[5051041, 5051454]"
9453,cds-WP_003092120.1,5051451,5052845,,UDP-glucose/GDP-mannose dehydrogenase family protein,+,NCGM2_RS23190,"[5051451, 5052845]"
9455,cds-WP_003130041.1,5052998,5054755,,PTS fructose-like transporter subunit IIB,-,NCGM2_RS23195,"[5052998, 5054755]"
9457,cds-WP_003112874.1,5054757,5055701,pfkB,1-phosphofructokinase,-,NCGM2_RS23200,"[5054757, 5055701]"
9459,cds-WP_014603966.1,5055701,5058571,ptsP,phosphoenolpyruvate--protein phosphotransferase,-,NCGM2_RS23205,"[5055701, 5058571]"
9461,cds-WP_041025748.1,5058899,5059888,cra,catabolite repressor/activator,+,NCGM2_RS23210,"[5058899, 5059888]"
9463,cds-WP_003092129.1,5059899,5060678,,TatD family hydrolase,+,NCGM2_RS23215,"[5059899, 5060678]"
9465,cds-WP_003092131.1,5060679,5060981,,barstar,-,NCGM2_RS23220,"[5060679, 5060981]"
9467,cds-WP_003092132.1,5060966,5061886,,LysR family transcriptional regulator,-,NCGM2_RS23225,"[5060966, 5061886]"
9469,cds-WP_003092135.1,5061982,5062275,,antibiotic biosynthesis monooxygenase,+,NCGM2_RS23230,"[5061982, 5062275]"
9471,cds-WP_003092136.1,5062297,5063310,,zinc-binding alcohol dehydrogenase family protein,+,NCGM2_RS23235,"[5062297, 5063310]"
9473,cds-WP_003092138.1,5063368,5065254,,propionyl-CoA synthetase,-,NCGM2_RS23240,"[5063368, 5065254]"
9475,cds-WP_009877528.1,5065356,5066252,mmsB,3-hydroxyisobutyrate dehydrogenase,-,NCGM2_RS23245,"[5065356, 5066252]"
9477,cds-WP_003092142.1,5066268,5067761,,CoA-acylating methylmalonate-semialdehyde dehydrogenase,-,NCGM2_RS23250,"[5066268, 5067761]"
9479,cds-WP_003122160.1,5067893,5068816,,AraC family transcriptional regulator,+,NCGM2_RS23255,"[5067893, 5068816]"
9481,cds-WP_003092147.1,5068943,5069119,,hypothetical protein,+,NCGM2_RS23260,"[5068943, 5069119]"
9483,cds-WP_003092150.1,5069127,5070305,,multidrug effflux MFS transporter,-,NCGM2_RS23265,"[5069127, 5070305]"
9485,cds-WP_014603968.1,5070671,5071291,,TetR family transcriptional regulator,+,NCGM2_RS23270,"[5070671, 5071291]"
9487,cds-WP_003092153.1,5071270,5071467,,heavy-metal-associated domain-containing protein,-,NCGM2_RS23275,"[5071270, 5071467]"
9489,cds-WP_003092155.1,5071650,5072180,,cytochrome b,+,NCGM2_RS23280,"[5071650, 5072180]"
9491,cds-WP_003092157.1,5072280,5072702,,hypothetical protein,+,NCGM2_RS23285,"[5072280, 5072702]"
9493,cds-WP_014603969.1,5072860,5072991,,hypothetical protein,-,NCGM2_RS32445,"[5072860, 5072991]"
9495,cds-NCGM2_RS23290,5073107,5073221,,hypothetical protein,-,NCGM2_RS23290,"[5073107, 5073221]"
9497,cds-WP_034008559.1,5073394,5073489,,hypothetical protein,-,NCGM2_RS32450,"[5073394, 5073489]"
9499,cds-WP_003092159.1,5073822,5074607,,PhzF family phenazine biosynthesis protein,-,NCGM2_RS23295,"[5073822, 5074607]"
9501,cds-WP_003092161.1,5074803,5076287,glpK,glycerol kinase GlpK,-,NCGM2_RS23300,"[5074803, 5076287]"
9503,cds-WP_003092163.1,5076351,5076821,ybaK,Cys-tRNA(Pro) deacylase,-,NCGM2_RS23305,"[5076351, 5076821]"
9505,cds-WP_003092166.1,5077086,5077925,,aquaporin,+,NCGM2_RS23310,"[5077086, 5077925]"
9507,cds-WP_003092168.1,5077965,5079482,glpK,glycerol kinase GlpK,+,NCGM2_RS23315,"[5077965, 5079482]"
9509,cds-WP_003092173.1,5079688,5080443,,DeoR/GlpR family transcriptional regulator,+,NCGM2_RS23320,"[5079688, 5080443]"
9511,cds-WP_041025749.1,5080722,5082260,glpD,glycerol-3-phosphate dehydrogenase,+,NCGM2_RS23325,"[5080722, 5082260]"
9513,cds-WP_003119370.1,5082393,5082722,,GlpM family protein,+,NCGM2_RS23330,"[5082393, 5082722]"
9515,cds-WP_003092179.1,5082739,5083725,,alpha/beta hydrolase,-,NCGM2_RS23335,"[5082739, 5083725]"
9517,cds-WP_003092181.1,5084024,5084944,,LysR family transcriptional regulator,+,NCGM2_RS23340,"[5084024, 5084944]"
9519,cds-WP_003092183.1,5084950,5086200,,OprD family porin,-,NCGM2_RS23345,"[5084950, 5086200]"
9521,cds-WP_003092185.1,5086253,5087458,,3-oxoadipyl-CoA thiolase,-,NCGM2_RS23350,"[5086253, 5087458]"
9523,cds-WP_003092188.1,5087481,5089013,,3-hydroxyacyl-CoA dehydrogenase,-,NCGM2_RS23355,"[5087481, 5089013]"
9525,cds-WP_023098464.1,5089010,5089807,,enoyl-CoA hydratase,-,NCGM2_RS23360,"[5089010, 5089807]"
9527,cds-WP_014603973.1,5089867,5091054,,CoA transferase,-,NCGM2_RS23365,"[5089867, 5091054]"
9529,cds-WP_003092194.1,5091093,5092820,,isovaleryl-CoA dehydrogenase,-,NCGM2_RS23370,"[5091093, 5092820]"
9531,cds-WP_003092195.1,5092934,5093821,,LysR family transcriptional regulator,+,NCGM2_RS23375,"[5092934, 5093821]"
9533,cds-WP_003109708.1,5094040,5095449,,MHS family MFS transporter,+,NCGM2_RS23380,"[5094040, 5095449]"
9535,cds-WP_014603974.1,5095446,5096519,,bifunctional transcriptional activator/DNA repair protein Ada,-,NCGM2_RS23385,"[5095446, 5096519]"
9537,cds-WP_003092203.1,5096609,5097931,,APC family permease,-,NCGM2_RS23390,"[5096609, 5097931]"
9539,cds-WP_003092205.1,5098131,5098946,,carbon-nitrogen hydrolase family protein,-,NCGM2_RS23395,"[5098131, 5098946]"
9541,cds-WP_003092207.1,5099074,5099859,,helix-turn-helix transcriptional regulator,+,NCGM2_RS23400,"[5099074, 5099859]"
9543,cds-WP_003092209.1,5099887,5100039,rpmJ,50S ribosomal protein L36,-,NCGM2_RS23405,"[5099887, 5100039]"
9545,cds-WP_003092213.1,5100039,5100302,,type B 50S ribosomal protein L31,-,NCGM2_RS23410,"[5100039, 5100302]"
9547,cds-WP_003092223.1,5100546,5102156,,FMN-binding glutamate synthase family protein,+,NCGM2_RS23415,"[5100546, 5102156]"
9549,cds-WP_003092226.1,5102226,5102597,,diacylglycerol kinase,-,NCGM2_RS23420,"[5102226, 5102597]"
9551,cds-WP_003092229.1,5102669,5103322,,response regulator transcription factor,-,NCGM2_RS23425,"[5102669, 5103322]"
9553,cds-WP_003119360.1,5103455,5104381,,DMT family transporter,+,NCGM2_RS23430,"[5103455, 5104381]"
9555,cds-WP_003092235.1,5104385,5105101,,DTW domain-containing protein,-,NCGM2_RS23435,"[5104385, 5105101]"
9557,cds-WP_003119359.1,5105360,5106451,,ABC transporter ATP-binding protein,+,NCGM2_RS23440,"[5105360, 5106451]"
9559,cds-WP_003092241.1,5106456,5107349,,ABC transporter permease,+,NCGM2_RS23445,"[5106456, 5107349]"
9561,cds-WP_003092244.1,5107342,5108112,,ABC transporter permease,+,NCGM2_RS23450,"[5107342, 5108112]"
9563,cds-WP_017002184.1,5108201,5109265,,spermidine/putrescine ABC transporter substrate-binding protein,+,NCGM2_RS23455,"[5108201, 5109265]"
9565,cds-WP_003092248.1,5109441,5109851,,quorum-sensing-regulated virulence factor family protein,+,NCGM2_RS23460,"[5109441, 5109851]"
9567,cds-WP_003092249.1,5109870,5110091,,DUF3820 family protein,+,NCGM2_RS23465,"[5109870, 5110091]"
9569,cds-WP_003092251.1,5110215,5112620,,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase,-,NCGM2_RS23470,"[5110215, 5112620]"
9571,cds-WP_003092253.1,5112800,5114203,,MBL fold metallo-hydrolase,+,NCGM2_RS23475,"[5112800, 5114203]"
9573,cds-WP_003092255.1,5114286,5115356,,LOG family protein,+,NCGM2_RS23480,"[5114286, 5115356]"
9575,cds-WP_003092258.1,5115378,5115839,recX,recombination regulator RecX,-,NCGM2_RS23485,"[5115378, 5115839]"
9577,cds-WP_003092260.1,5115845,5116885,recA,recombinase RecA,-,NCGM2_RS23490,"[5115845, 5116885]"
9579,cds-WP_003092262.1,5117019,5117525,,CinA family protein,-,NCGM2_RS23495,"[5117019, 5117525]"
9581,cds-WP_003092265.1,5117673,5118680,,TolB family protein,+,NCGM2_RS23500,"[5117673, 5118680]"
9583,cds-WP_003122151.1,5118806,5121373,mutS,DNA mismatch repair protein MutS,+,NCGM2_RS23505,"[5118806, 5121373]"
9585,cds-WP_003092272.1,5121440,5121763,,ferredoxin family protein,+,NCGM2_RS23510,"[5121440, 5121763]"
9587,cds-WP_003113871.1,5122190,5123194,rpoS,RNA polymerase sigma factor RpoS,-,NCGM2_RS23515,"[5122190, 5123194]"
9589,cds-WP_003092335.1,5123299,5124192,,peptidoglycan DD-metalloendopeptidase family protein,-,NCGM2_RS23520,"[5123299, 5124192]"
9591,cds-WP_073660134.1,5124238,5124873,,protein-L-isoaspartate(D-aspartate) O-methyltransferase,-,NCGM2_RS23525,"[5124238, 5124873]"
9593,cds-WP_003092341.1,5124906,5125655,surE,5'/3'-nucleotidase SurE,-,NCGM2_RS23530,"[5124906, 5125655]"
9595,cds-WP_003092343.1,5125643,5126710,truD,tRNA pseudouridine(13) synthase TruD,-,NCGM2_RS23535,"[5125643, 5126710]"
9597,cds-WP_003092346.1,5126707,5127180,ispF,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,-,NCGM2_RS23540,"[5126707, 5127180]"
9599,cds-WP_003092349.1,5127251,5128102,fghA,S-formylglutathione hydrolase,-,NCGM2_RS23545,"[5127251, 5128102]"
9601,cds-WP_003092351.1,5128156,5129268,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,-,NCGM2_RS23550,"[5128156, 5129268]"
9603,cds-WP_003092354.1,5129400,5130308,gfnR,glutathione-dependent formaldehyde neutralization regulator,+,NCGM2_RS23555,"[5129400, 5130308]"
9605,cds-WP_003092355.1,5130384,5131610,yedE,selenium metabolism membrane protein YedE/FdhT,+,NCGM2_RS23560,"[5130384, 5131610]"
9607,cds-WP_003092358.1,5131576,5131824,yedF,sulfurtransferase-like selenium metabolism protein YedF,+,NCGM2_RS23565,"[5131576, 5131824]"
9609,cds-WP_003092359.1,5131885,5132589,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,-,NCGM2_RS23570,"[5131885, 5132589]"
9611,cds-WP_003092362.1,5132609,5132893,ftsB,cell division protein FtsB,-,NCGM2_RS23575,"[5132609, 5132893]"
9613,cds-WP_003092364.1,5132958,5134247,eno,phosphopyruvate hydratase,-,NCGM2_RS23580,"[5132958, 5134247]"
9615,cds-WP_003092365.1,5134293,5135138,kdsA,3-deoxy-8-phosphooctulonate synthase,-,NCGM2_RS23585,"[5134293, 5135138]"
9617,cds-WP_003092366.1,5135141,5136769,,CTP synthase,-,NCGM2_RS23590,"[5135141, 5136769]"
9619,cds-WP_014603976.1,5136940,5138268,tilS,tRNA lysidine(34) synthetase TilS,-,NCGM2_RS23595,"[5136940, 5138268]"
9621,cds-WP_003092368.1,5138338,5139288,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,-,NCGM2_RS23600,"[5138338, 5139288]"
9623,cds-WP_003098578.1,5139438,5142959,dnaE,DNA polymerase III subunit alpha,-,NCGM2_RS23605,"[5139438, 5142959]"
