,id,start,end,gene_name,strand,locus_tag,interval
10150,gene-PA4704,5283109,5283906,cbpA,+,PA4704,"[5283109, 5283906]"
10152,gene-PA4704.1,5283960,5284110,prrF1,+,PA4704.1,"[5283960, 5284110]"
10156,gene-PA4704.2,5284172,5284319,prrF2,+,PA4704.2,"[5284172, 5284319]"
10161,gene-PA4705,5284370,5285257,PA4705,-,PA4705,"[5284370, 5285257]"
10163,gene-PA4706,5285268,5286035,PA4706,-,PA4706,"[5285268, 5286035]"
10165,gene-PA4707,5286035,5287018,PA4707,-,PA4707,"[5286035, 5287018]"
10167,gene-PA4708,5287069,5287962,phuT,-,PA4708,"[5287069, 5287962]"
10169,gene-PA4709,5287972,5289036,PA4709,-,PA4709,"[5287972, 5289036]"
10173,gene-PA4710,5289217,5291511,phuR,+,PA4710,"[5289217, 5291511]"
10175,gene-PA4711,5291614,5291961,PA4711,+,PA4711,"[5291614, 5291961]"
10177,gene-PA4712,5292042,5292554,PA4712,+,PA4712,"[5292042, 5292554]"
10179,gene-PA4713,5292558,5293007,PA4713,-,PA4713,"[5292558, 5293007]"
10181,gene-PA4714,5293257,5293706,PA4714,+,PA4714,"[5293257, 5293706]"
10183,gene-PA4715,5293765,5295000,PA4715,-,PA4715,"[5293765, 5295000]"
10185,gene-PA4716,5295170,5296024,PA4716,+,PA4716,"[5295170, 5296024]"
10187,gene-PA4717,5296092,5296985,PA4717,+,PA4717,"[5296092, 5296985]"
10189,gene-PA4718,5297007,5297483,PA4718,-,PA4718,"[5297007, 5297483]"
10191,gene-PA4719,5297897,5299192,PA4719,+,PA4719,"[5297897, 5299192]"
10193,gene-PA4720,5299189,5300280,trmA,+,PA4720,"[5299189, 5300280]"
10195,gene-PA4721,5300314,5301021,PA4721,-,PA4721,"[5300314, 5301021]"
10197,gene-PA4722,5301021,5302193,PA4722,-,PA4722,"[5301021, 5302193]"
10199,gene-PA4723,5302386,5302832,dksA,+,PA4723,"[5302386, 5302832]"
10201,gene-PA4724,5302900,5303781,PA4724,+,PA4724,"[5302900, 5303781]"
10203,gene-PA4724.1,5303851,5304027,PA4724.1,+,PA4724.1,"[5303851, 5304027]"
10205,gene-PA4725,5304011,5306962,cbrA,+,PA4725,"[5304011, 5306962]"
10207,gene-PA4726,5306989,5308425,cbrB,+,PA4726,"[5306989, 5308425]"
10209,gene-PA4726.1,5308433,5308493,PA4726.1,+,PA4726.1,"[5308433, 5308493]"
10213,gene-PA4726.11,5308587,5308993,crcZ,+,PA4726.11,"[5308587, 5308993]"
10216,gene-PA4726.2,5308743,5308964,PA4726.2,-,PA4726.2,"[5308743, 5308964]"
10219,gene-PA4727,5309326,5310729,pcnB,+,PA4727,"[5309326, 5310729]"
10221,gene-PA4728,5310726,5311214,folK,+,PA4728,"[5310726, 5311214]"
10223,gene-PA4729,5311464,5312264,panB,+,PA4729,"[5311464, 5312264]"
10225,gene-PA4730,5312261,5313112,panC,+,PA4730,"[5312261, 5313112]"
10227,gene-PA4731,5313206,5313586,panD,+,PA4731,"[5313206, 5313586]"
10229,gene-PA4732,5313676,5315340,pgi,+,PA4732,"[5313676, 5315340]"
10231,gene-PA4733,5315534,5317471,acsB,+,PA4733,"[5315534, 5317471]"
10233,gene-PA4734,5317569,5318450,PA4734,+,PA4734,"[5317569, 5318450]"
10235,gene-PA4735,5318575,5321841,PA4735,+,PA4735,"[5318575, 5321841]"
10237,gene-PA4736,5321846,5322139,PA4736,+,PA4736,"[5321846, 5322139]"
10239,gene-PA4737,5322136,5322450,PA4737,+,PA4737,"[5322136, 5322450]"
10241,gene-PA4738,5322510,5322707,PA4738,-,PA4738,"[5322510, 5322707]"
10243,gene-PA4739,5322757,5323101,PA4739,-,PA4739,"[5322757, 5323101]"
10245,gene-PA4740,5323374,5325479,pnp,-,PA4740,"[5323374, 5325479]"
10247,gene-PA4741,5325653,5325922,rpsO,-,PA4741,"[5325653, 5325922]"
10249,gene-PA4742,5326018,5326932,truB,-,PA4742,"[5326018, 5326932]"
10251,gene-PA4743,5326935,5327324,rbfA,-,PA4743,"[5326935, 5327324]"
10253,gene-PA4744,5327427,5329949,infB,-,PA4744,"[5327427, 5329949]"
10255,gene-PA4745,5329977,5331458,nusA,-,PA4745,"[5329977, 5331458]"
10257,gene-PA4746,5331503,5331961,PA4746,-,PA4746,"[5331503, 5331961]"
10259,gene-PA4746.1,5332087,5332163,PA4746.1,-,PA4746.1,"[5332087, 5332163]"
10262,gene-PA4746.2,5332254,5332339,PA4746.2,-,PA4746.2,"[5332254, 5332339]"
10265,gene-PA4747,5332354,5332743,secG,-,PA4747,"[5332354, 5332743]"
10267,gene-PA4748,5332746,5333501,tpiA,-,PA4748,"[5332746, 5333501]"
10269,gene-PA4749,5333567,5334904,glmM,-,PA4749,"[5333567, 5334904]"
10272,gene-PA4750,5334921,5335772,folP,-,PA4750,"[5334921, 5335772]"
10274,gene-PA4751,5335782,5337701,ftsH,-,PA4751,"[5335782, 5337701]"
10276,gene-PA4752,5337900,5338523,ftsJ,-,PA4752,"[5337900, 5338523]"
10278,gene-PA4753,5338618,5338932,PA4753,+,PA4753,"[5338618, 5338932]"
10280,gene-PA4754,5338973,5339380,PA4754,-,PA4754,"[5338973, 5339380]"
10282,gene-PA4755,5339391,5339867,greA,-,PA4755,"[5339391, 5339867]"
10284,gene-PA4756,5339864,5343085,carB,-,PA4756,"[5339864, 5343085]"
10286,gene-PA4757,5343105,5343755,PA4757,-,PA4757,"[5343105, 5343755]"
10288,gene-PA4758,5343767,5344903,carA,-,PA4758,"[5343767, 5344903]"
10290,gene-PA4758.1,5344950,5345060,PA4758.1,-,PA4758.1,"[5344950, 5345060]"
10293,gene-PA4759,5345086,5345892,dapB,-,PA4759,"[5345086, 5345892]"
10295,gene-PA4760,5345949,5347082,dnaJ,-,PA4760,"[5345949, 5347082]"
10297,gene-PA4761,5347198,5349111,dnaK,-,PA4761,"[5347198, 5349111]"
10299,gene-PA4762,5349201,5349761,grpE,-,PA4762,"[5349201, 5349761]"
10301,gene-PA4763,5349929,5351605,recN,+,PA4763,"[5349929, 5351605]"
10303,gene-PA4764,5351675,5352079,fur,-,PA4764,"[5351675, 5352079]"
10305,gene-PA4765,5352177,5352707,omlA,+,PA4765,"[5352177, 5352707]"
10307,gene-PA4766,5352775,5353080,PA4766,-,PA4766,"[5352775, 5353080]"
10309,gene-PA4767,5353073,5353507,PA4767,-,PA4767,"[5353073, 5353507]"
10311,gene-PA4768,5353783,5354262,smpB,+,PA4768,"[5353783, 5354262]"
10313,gene-PA4769,5354285,5355058,PA4769,-,PA4769,"[5354285, 5355058]"
10315,gene-PA4770,5355387,5357075,lldP,+,PA4770,"[5355387, 5357075]"
10317,gene-PA4771,5357230,5358375,lldD,+,PA4771,"[5357230, 5358375]"
10319,gene-PA4772,5358442,5361258,PA4772,+,PA4772,"[5358442, 5361258]"
10321,gene-PA4773,5361586,5362068,PA4773,+,PA4773,"[5361586, 5362068]"
10323,gene-PA4774,5362146,5363195,PA4774,+,PA4774,"[5362146, 5363195]"
10325,gene-PA4775,5363198,5364058,PA4775,+,PA4775,"[5363198, 5364058]"
10327,gene-PA4776,5364071,5364736,pmrA,+,PA4776,"[5364071, 5364736]"
10329,gene-PA4777,5364760,5366193,pmrB,+,PA4777,"[5364760, 5366193]"
10334,gene-PA4778,5366257,5366655,cueR,+,PA4778,"[5366257, 5366655]"
10336,gene-PA4779,5367187,5368080,PA4779,-,PA4779,"[5367187, 5368080]"
10338,gene-PA4780,5368170,5369063,PA4780,-,PA4780,"[5368170, 5369063]"
10340,gene-PA4781,5369187,5370368,PA4781,-,PA4781,"[5369187, 5370368]"
10342,gene-PA4782,5370476,5370721,PA4782,-,PA4782,"[5370476, 5370721]"
10344,gene-PA4783,5370755,5371645,PA4783,-,PA4783,"[5370755, 5371645]"
10346,gene-PA4784,5371800,5372267,PA4784,+,PA4784,"[5371800, 5372267]"
10348,gene-PA4785,5372591,5373868,PA4785,-,PA4785,"[5372591, 5373868]"
10351,gene-PA4786,5374123,5375478,PA4786,+,PA4786,"[5374123, 5375478]"
10353,gene-PA4787,5375590,5376591,PA4787,-,PA4787,"[5375590, 5376591]"
10355,gene-PA4788,5376852,5377709,PA4788,+,PA4788,"[5376852, 5377709]"
10357,gene-PA4789,5377791,5378096,PA4789,+,PA4789,"[5377791, 5378096]"
10359,gene-PA4790,5378093,5378842,PA4790,+,PA4790,"[5378093, 5378842]"
10361,gene-PA4791,5378908,5379528,PA4791,+,PA4791,"[5378908, 5379528]"
10363,gene-PA4792,5379513,5380448,PA4792,-,PA4792,"[5379513, 5380448]"
10365,gene-PA4793,5380580,5381143,PA4793,+,PA4793,"[5380580, 5381143]"
10367,gene-PA4794,5381145,5381627,PA4794,+,PA4794,"[5381145, 5381627]"
10369,gene-PA4795,5381617,5381994,PA4795,+,PA4795,"[5381617, 5381994]"
10371,gene-PA4796,5381991,5382458,PA4796,+,PA4796,"[5381991, 5382458]"
10373,gene-PA4797,5382796,5383812,PA4797,-,PA4797,"[5382796, 5383812]"
10375,gene-PA4798,5383947,5384675,PA4798,+,PA4798,"[5383947, 5384675]"
10377,gene-PA4799,5384698,5385276,PA4799,-,PA4799,"[5384698, 5385276]"
10379,gene-PA4800,5385273,5386073,PA4800,-,PA4800,"[5385273, 5386073]"
10381,gene-PA4801,5386369,5386737,PA4801,-,PA4801,"[5386369, 5386737]"
10383,gene-PA4802,5387000,5387722,PA4802,+,PA4802,"[5387000, 5387722]"
10385,gene-PA4802.1,5387766,5387857,PA4802.1,-,PA4802.1,"[5387766, 5387857]"
10388,gene-PA4803,5387990,5388607,PA4803,-,PA4803,"[5387990, 5388607]"
10390,gene-PA4804,5388702,5390099,PA4804,-,PA4804,"[5388702, 5390099]"
10392,gene-PA4805,5390148,5391554,PA4805,-,PA4805,"[5390148, 5391554]"
10394,gene-PA4806,5391836,5392519,PA4806,+,PA4806,"[5391836, 5392519]"
10396,gene-PA4807,5392523,5394448,selB,-,PA4807,"[5392523, 5394448]"
10398,gene-PA4808,5394445,5395851,selA,-,PA4808,"[5394445, 5395851]"
10400,gene-PA4809,5395930,5396859,fdhE,-,PA4809,"[5395930, 5396859]"
10402,gene-PA4810,5396992,5397618,fdnI,-,PA4810,"[5396992, 5397618]"
10404,gene-PA4811,5397690,5398619,fdnH,-,PA4811,"[5397690, 5398619]"
10406,gene-PA4812,5398628,5401708,fdnG,-,PA4812,"[5398628, 5401708]"
10408,gene-PA4813,5402016,5402945,lipC,-,PA4813,"[5402016, 5402945]"
10410,gene-PA4814,5403305,5405350,fadH2,+,PA4814,"[5403305, 5405350]"
10412,gene-PA4815,5405559,5406008,PA4815,+,PA4815,"[5405559, 5406008]"
10414,gene-PA4816,5406165,5407400,PA4816,+,PA4816,"[5406165, 5407400]"
10416,gene-PA4817,5407376,5407870,PA4817,+,PA4817,"[5407376, 5407870]"
10418,gene-PA4818,5407873,5409309,PA4818,-,PA4818,"[5407873, 5409309]"
10420,gene-PA4819,5409306,5410280,PA4819,-,PA4819,"[5409306, 5410280]"
10422,gene-PA4820,5410277,5410639,PA4820,-,PA4820,"[5410277, 5410639]"
10424,gene-PA4821,5410876,5412237,PA4821,+,PA4821,"[5410876, 5412237]"
10426,gene-PA4822,5412569,5414236,PA4822,-,PA4822,"[5412569, 5414236]"
10429,gene-PA4823,5414279,5414488,PA4823,-,PA4823,"[5414279, 5414488]"
10431,gene-PA4824,5414539,5415315,PA4824,-,PA4824,"[5414539, 5415315]"
10433,gene-PA4825,5415413,5418124,mgtA,-,PA4825,"[5415413, 5418124]"
10435,gene-PA4826,5418351,5418569,PA4826,-,PA4826,"[5418351, 5418569]"
10437,gene-PA4827,5418899,5419738,PA4827,-,PA4827,"[5418899, 5419738]"
10439,gene-PA4828,5419863,5420318,PA4828,+,PA4828,"[5419863, 5420318]"
10441,gene-PA4829,5420323,5421726,lpd3,-,PA4829,"[5420323, 5421726]"
10443,gene-PA4830,5421899,5422438,PA4830,+,PA4830,"[5421899, 5422438]"
10445,gene-PA4831,5422506,5423066,PA4831,+,PA4831,"[5422506, 5423066]"
10447,gene-PA4832,5423071,5423868,PA4832,-,PA4832,"[5423071, 5423868]"
10449,gene-PA4833,5424099,5424716,PA4833,+,PA4833,"[5424099, 5424716]"
10451,gene-PA4834,5424761,5425615,PA4834,-,PA4834,"[5424761, 5425615]"
10453,gene-PA4835,5425597,5426898,PA4835,-,PA4835,"[5425597, 5426898]"
10455,gene-PA4836,5426895,5427686,PA4836,-,PA4836,"[5426895, 5427686]"
10457,gene-PA4837,5427716,5429842,PA4837,-,PA4837,"[5427716, 5429842]"
10459,gene-PA4838,5429984,5431138,PA4838,+,PA4838,"[5429984, 5431138]"
10461,gene-PA4839,5431381,5433291,speA,-,PA4839,"[5431381, 5433291]"
10463,gene-PA4840,5433541,5433912,PA4840,-,PA4840,"[5433541, 5433912]"
10465,gene-PA4841,5434116,5434652,PA4841,-,PA4841,"[5434116, 5434652]"
10467,gene-PA4842,5434656,5435726,PA4842,-,PA4842,"[5434656, 5435726]"
10472,gene-PA4843,5436079,5437707,PA4843,+,PA4843,"[5436079, 5437707]"
10476,gene-PA4844,5437785,5439758,PA4844,+,PA4844,"[5437785, 5439758]"
10478,gene-PA4845,5439918,5441693,dipZ,+,PA4845,"[5439918, 5441693]"
10480,gene-PA4846,5441837,5442280,aroQ1,+,PA4846,"[5441837, 5442280]"
10482,gene-PA4847,5442304,5442774,accB,+,PA4847,"[5442304, 5442774]"
10484,gene-PA4848,5442792,5444141,accC,+,PA4848,"[5442792, 5444141]"
10486,gene-PA4849,5444252,5445118,PA4849,+,PA4849,"[5444252, 5445118]"
10488,gene-PA4850,5445199,5446083,prmA,+,PA4850,"[5445199, 5446083]"
10490,gene-PA4851,5446179,5447444,PA4851,+,PA4851,"[5446179, 5447444]"
10492,gene-PA4852,5447648,5448646,PA4852,+,PA4852,"[5447648, 5448646]"
10494,gene-PA4853,5448643,5448966,fis,+,PA4853,"[5448643, 5448966]"
10496,gene-PA4854,5449046,5450653,purH,+,PA4854,"[5449046, 5450653]"
10498,gene-PA4855,5450757,5452046,purD,+,PA4855,"[5450757, 5452046]"
10500,gene-PA4856,5452150,5454978,retS,+,PA4856,"[5452150, 5454978]"
10502,gene-PA4857,5455434,5456027,PA4857,+,PA4857,"[5455434, 5456027]"
10504,gene-PA4858,5456452,5457717,PA4858,+,PA4858,"[5456452, 5457717]"
10506,gene-PA4859,5457864,5459453,PA4859,+,PA4859,"[5457864, 5459453]"
10509,gene-PA4860,5459450,5460529,PA4860,+,PA4860,"[5459450, 5460529]"
10511,gene-PA4861,5460526,5461383,PA4861,+,PA4861,"[5460526, 5461383]"
10513,gene-PA4862,5461520,5462218,PA4862,+,PA4862,"[5461520, 5462218]"
10515,gene-PA4863,5462302,5462754,PA4863,+,PA4863,"[5462302, 5462754]"
10517,gene-PA4864,5462763,5463605,ureD,+,PA4864,"[5462763, 5463605]"
10519,gene-PA4865,5463607,5463909,ureA,+,PA4865,"[5463607, 5463909]"
10521,gene-PA4866,5463918,5464436,PA4866,+,PA4866,"[5463918, 5464436]"
10523,gene-PA4867,5464453,5464758,ureB,+,PA4867,"[5464453, 5464758]"
10525,gene-PA4868,5464821,5466521,ureC,+,PA4868,"[5464821, 5466521]"
10527,gene-PA4869,5466790,5468007,PA4869,+,PA4869,"[5466790, 5468007]"
10529,gene-PA4870,5468017,5468283,PA4870,-,PA4870,"[5468017, 5468283]"
10531,gene-PA4871,5468409,5469023,PA4871,+,PA4871,"[5468409, 5469023]"
10533,gene-PA4872,5469115,5469978,PA4872,-,PA4872,"[5469115, 5469978]"
10535,gene-PA4873,5470186,5471451,PA4873,+,PA4873,"[5470186, 5471451]"
10537,gene-PA4874,5471626,5472042,PA4874,-,PA4874,"[5471626, 5472042]"
10540,gene-PA4876,5472824,5473168,osmE,+,PA4876,"[5472824, 5473168]"
10542,gene-PA4877,5473212,5473619,PA4877,-,PA4877,"[5473212, 5473619]"
10545,gene-PA4878,5473766,5474578,PA4878,+,PA4878,"[5473766, 5474578]"
10547,gene-PA4879,5474580,5476649,PA4879,-,PA4879,"[5474580, 5476649]"
10549,gene-PA4880,5476945,5477478,PA4880,+,PA4880,"[5476945, 5477478]"
10553,gene-PA4881,5477754,5478095,PA4881,+,PA4881,"[5477754, 5478095]"
10555,gene-PA4882,5478209,5478976,PA4882,-,PA4882,"[5478209, 5478976]"
10557,gene-PA4883,5478973,5479587,PA4883,-,PA4883,"[5478973, 5479587]"
10559,gene-PA4884,5479641,5480264,PA4884,-,PA4884,"[5479641, 5480264]"
10561,gene-PA4885,5480402,5481091,irlR,+,PA4885,"[5480402, 5481091]"
10563,gene-PA4886,5481070,5482461,PA4886,+,PA4886,"[5481070, 5482461]"
10565,gene-PA4887,5482452,5483768,PA4887,-,PA4887,"[5482452, 5483768]"
10567,gene-PA4888,5483988,5485100,desB,-,PA4888,"[5483988, 5485100]"
10569,gene-PA4889,5485097,5486197,PA4889,-,PA4889,"[5485097, 5486197]"
10573,gene-PA4890,5486356,5486985,desT,+,PA4890,"[5486356, 5486985]"
10575,gene-PA4891,5487215,5487718,ureE,+,PA4891,"[5487215, 5487718]"
10577,gene-PA4892,5487715,5488386,ureF,+,PA4892,"[5487715, 5488386]"
10579,gene-PA4893,5488397,5489011,ureG,+,PA4893,"[5488397, 5489011]"
10581,gene-PA4894,5489041,5489613,PA4894,+,PA4894,"[5489041, 5489613]"
10583,gene-PA4895,5489630,5490652,PA4895,-,PA4895,"[5489630, 5490652]"
10585,gene-PA4896,5490645,5491181,PA4896,-,PA4896,"[5490645, 5491181]"
10587,gene-PA4897,5491346,5494315,PA4897,+,PA4897,"[5491346, 5494315]"
10589,gene-PA4898,5494460,5495713,opdK,-,PA4898,"[5494460, 5495713]"
10591,gene-PA4899,5495821,5497290,PA4899,-,PA4899,"[5495821, 5497290]"
10593,gene-PA4900,5497313,5498653,PA4900,-,PA4900,"[5497313, 5498653]"
10595,gene-PA4901,5498740,5500326,mdlC,-,PA4901,"[5498740, 5500326]"
10597,gene-PA4902,5500427,5501323,PA4902,+,PA4902,"[5500427, 5501323]"
10599,gene-PA4903,5501338,5502672,PA4903,-,PA4903,"[5501338, 5502672]"
10601,gene-PA4904,5503051,5504106,vanA,+,PA4904,"[5503051, 5504106]"
10603,gene-PA4905,5504121,5505074,vanB,+,PA4905,"[5504121, 5505074]"
10605,gene-PA4906,5505071,5505784,PA4906,-,PA4906,"[5505071, 5505784]"
10607,gene-PA4907,5505848,5506609,PA4907,-,PA4907,"[5505848, 5506609]"
10609,gene-PA4908,5506966,5507898,PA4908,-,PA4908,"[5506966, 5507898]"
10611,gene-PA4909,5507969,5508685,PA4909,-,PA4909,"[5507969, 5508685]"
10613,gene-PA4910,5508682,5509554,PA4910,-,PA4910,"[5508682, 5509554]"
10615,gene-PA4911,5509551,5510828,PA4911,-,PA4911,"[5509551, 5510828]"
10617,gene-PA4912,5510839,5511753,PA4912,-,PA4912,"[5510839, 5511753]"
10619,gene-PA4913,5511988,5513112,PA4913,-,PA4913,"[5511988, 5513112]"
10621,gene-PA4914,5513732,5514670,PA4914,+,PA4914,"[5513732, 5514670]"
10624,gene-PA4915,5514727,5516352,PA4915,+,PA4915,"[5514727, 5516352]"
10626,gene-PA4916,5516399,5517094,PA4916,-,PA4916,"[5516399, 5517094]"
10628,gene-PA4917,5517109,5517711,PA4917,-,PA4917,"[5517109, 5517711]"
10630,gene-PA4918,5517821,5518480,PA4918,+,PA4918,"[5517821, 5518480]"
10632,gene-PA4919,5518483,5519682,pncB1,+,PA4919,"[5518483, 5519682]"
10634,gene-PA4920,5519711,5520538,nadE,+,PA4920,"[5519711, 5520538]"
10636,gene-PA4921,5520672,5521595,PA4921,+,PA4921,"[5520672, 5521595]"
10638,gene-PA4922,5521664,5522110,azu,-,PA4922,"[5521664, 5522110]"
10640,gene-PA4923,5522386,5522973,PA4923,+,PA4923,"[5522386, 5522973]"
10642,gene-PA4924,5522986,5523681,PA4924,-,PA4924,"[5522986, 5523681]"
10644,gene-PA4925,5523868,5524719,PA4925,-,PA4925,"[5523868, 5524719]"
10646,gene-PA4926,5524970,5525905,PA4926,-,PA4926,"[5524970, 5525905]"
10648,gene-PA4927,5525905,5528397,PA4927,-,PA4927,"[5525905, 5528397]"
10650,gene-PA4928,5528659,5530902,PA4928,-,PA4928,"[5528659, 5530902]"
10652,gene-PA4929,5530973,5533015,PA4929,+,PA4929,"[5530973, 5533015]"
10656,gene-PA4930,5533017,5534093,alr,-,PA4930,"[5533017, 5534093]"
10658,gene-PA4931,5534162,5535556,dnaB,-,PA4931,"[5534162, 5535556]"
10660,gene-PA4932,5535685,5536131,rplI,-,PA4932,"[5535685, 5536131]"
10662,gene-PA4933,5536153,5537022,PA4933,-,PA4933,"[5536153, 5537022]"
10664,gene-PA4934,5537059,5537289,rpsR,-,PA4934,"[5537059, 5537289]"
10666,gene-PA4935,5537319,5537738,rpsF,-,PA4935,"[5537319, 5537738]"
10668,gene-PA4936,5537953,5538699,PA4936,-,PA4936,"[5537953, 5538699]"
10670,gene-PA4937,5538696,5541410,rnr,-,PA4937,"[5538696, 5541410]"
10672,gene-PA4937.1,5541614,5541700,PA4937.1,+,PA4937.1,"[5541614, 5541700]"
10675,gene-PA4937.2,5541830,5541916,PA4937.2,+,PA4937.2,"[5541830, 5541916]"
10678,gene-PA4938,5542073,5543365,purA,-,PA4938,"[5542073, 5543365]"
10680,gene-PA4939,5543417,5544601,PA4939,-,PA4939,"[5543417, 5544601]"
10682,gene-PA4940,5544636,5544821,PA4940,-,PA4940,"[5544636, 5544821]"
10684,gene-PA4941,5544917,5545786,hflC,-,PA4941,"[5544917, 5545786]"
10686,gene-PA4942,5545786,5546988,hflK,-,PA4942,"[5545786, 5546988]"
10688,gene-PA4943,5547083,5548384,PA4943,-,PA4943,"[5547083, 5548384]"
10690,gene-PA4944,5548397,5548645,hfq,-,PA4944,"[5548397, 5548645]"
10692,gene-PA4945,5548751,5549722,miaA,-,PA4945,"[5548751, 5549722]"
10694,gene-PA4946,5549780,5551681,mutL,-,PA4946,"[5549780, 5551681]"
10696,gene-PA4947,5551681,5553108,amiB,-,PA4947,"[5551681, 5553108]"
10698,gene-PA4948,5553117,5553584,PA4948,-,PA4948,"[5553117, 5553584]"
10700,gene-PA4949,5553572,5555080,PA4949,-,PA4949,"[5553572, 5555080]"
10702,gene-PA4950,5555162,5556247,PA4950,+,PA4950,"[5555162, 5556247]"
10704,gene-PA4951,5556281,5556823,orn,-,PA4951,"[5556281, 5556823]"
10707,gene-PA4952,5556935,5557954,PA4952,+,PA4952,"[5556935, 5557954]"
10709,gene-PA4953,5557958,5559001,motB,-,PA4953,"[5557958, 5559001]"
10711,gene-PA4954,5559021,5559872,motA,-,PA4954,"[5559021, 5559872]"
10713,gene-PA4955,5560013,5561524,PA4955,+,PA4955,"[5560013, 5561524]"
10715,gene-PA4956,5561599,5562414,rhdA,+,PA4956,"[5561599, 5562414]"
10717,gene-PA4957,5562418,5563287,psd,+,PA4957,"[5562418, 5563287]"
10719,gene-PA4958,5563605,5565428,fimW,+,PA4958,"[5563605, 5565428]"
10721,gene-PA4959,5565493,5567568,fimX,+,PA4959,"[5565493, 5567568]"
10723,gene-PA4960,5567655,5568944,PA4960,-,PA4960,"[5567655, 5568944]"
10725,gene-PA4961,5569090,5570628,PA4961,+,PA4961,"[5569090, 5570628]"
10727,gene-PA4962,5570625,5571161,PA4962,+,PA4962,"[5570625, 5571161]"
10729,gene-PA4963,5571219,5571929,PA4963,-,PA4963,"[5571219, 5571929]"
10731,gene-PA4964,5572222,5574486,parC,-,PA4964,"[5572222, 5574486]"
10733,gene-PA4965,5574494,5575018,PA4965,-,PA4965,"[5574494, 5575018]"
10735,gene-PA4966,5575015,5576028,PA4966,-,PA4966,"[5575015, 5576028]"
10737,gene-PA4967,5576028,5577917,parE,-,PA4967,"[5576028, 5577917]"
10739,gene-PA4968,5577929,5578549,PA4968,-,PA4968,"[5577929, 5578549]"
10741,gene-PA4969,5578681,5579499,cpdA,-,PA4969,"[5578681, 5579499]"
10744,gene-PA4970,5579653,5580111,PA4970,-,PA4970,"[5579653, 5580111]"
10746,gene-PA4971,5580102,5580719,aspP,-,PA4971,"[5580102, 5580719]"
10748,gene-PA4972,5580962,5581708,PA4972,+,PA4972,"[5580962, 5581708]"
10750,gene-PA4973,5581762,5583645,thiC,-,PA4973,"[5581762, 5583645]"
10752,gene-PA4974,5584101,5585549,PA4974,+,PA4974,"[5584101, 5585549]"
10754,gene-PA4975,5585615,5586319,PA4975,-,PA4975,"[5585615, 5586319]"
10756,gene-PA4976,5586370,5587551,aruH,-,PA4976,"[5586370, 5587551]"
10758,gene-PA4977,5587574,5589253,aruI,-,PA4977,"[5587574, 5589253]"
10760,gene-PA4978,5589295,5591385,PA4978,-,PA4978,"[5589295, 5591385]"
10762,gene-PA4979,5591452,5592612,PA4979,-,PA4979,"[5591452, 5592612]"
10764,gene-PA4980,5592633,5593424,PA4980,-,PA4980,"[5592633, 5593424]"
10766,gene-PA4981,5593683,5595095,PA4981,-,PA4981,"[5593683, 5595095]"
10770,gene-PA4982,5595279,5597531,PA4982,-,PA4982,"[5595279, 5597531]"
10772,gene-PA4983,5598308,5599042,PA4983,-,PA4983,"[5598308, 5599042]"
10774,gene-PA4984,5599160,5599807,PA4984,-,PA4984,"[5599160, 5599807]"
10776,gene-PA4985,5599884,5600975,PA4985,-,PA4985,"[5599884, 5600975]"
10778,gene-PA4986,5601149,5603095,PA4986,+,PA4986,"[5601149, 5603095]"
10781,gene-PA4987,5603173,5603772,PA4987,+,PA4987,"[5603173, 5603772]"
10783,gene-PA4988,5603821,5605098,waaA,-,PA4988,"[5603821, 5605098]"
10785,gene-PA4989,5605134,5606018,PA4989,-,PA4989,"[5605134, 5606018]"
10787,gene-PA4990,5606103,5606435,PA4990,+,PA4990,"[5606103, 5606435]"
10789,gene-PA4991,5606496,5607671,PA4991,+,PA4991,"[5606496, 5607671]"
10791,gene-PA4992,5607668,5608480,PA4992,+,PA4992,"[5607668, 5608480]"
10793,gene-PA4993,5608649,5609569,PA4993,+,PA4993,"[5608649, 5609569]"
10795,gene-PA4994,5609594,5610802,PA4994,-,PA4994,"[5609594, 5610802]"
10797,gene-PA4995,5610851,5612140,PA4995,-,PA4995,"[5610851, 5612140]"
10799,gene-PA4996,5612268,5613692,rfaE,-,PA4996,"[5612268, 5613692]"
10801,gene-PA4997,5613733,5615544,msbA,-,PA4997,"[5613733, 5615544]"
10803,gene-PA4998,5615652,5616302,PA4998,+,PA4998,"[5615652, 5616302]"
10805,gene-PA4999,5616310,5617515,waaL,+,PA4999,"[5616310, 5617515]"
10808,gene-PA5000,5617534,5618418,wapR,-,PA5000,"[5617534, 5618418]"
10810,gene-PA5001,5618579,5619535,PA5001,-,PA5001,"[5618579, 5619535]"
10812,gene-PA5002,5619608,5621026,PA5002,-,PA5002,"[5619608, 5621026]"
10814,gene-PA5003,5621030,5621926,PA5003,-,PA5003,"[5621030, 5621926]"
10816,gene-PA5004,5621920,5623056,PA5004,-,PA5004,"[5621920, 5623056]"
10818,gene-PA5005,5623040,5624797,PA5005,-,PA5005,"[5623040, 5624797]"
10820,gene-PA5006,5624901,5626379,PA5006,-,PA5006,"[5624901, 5626379]"
10822,gene-PA5007,5626376,5627134,PA5007,-,PA5007,"[5626376, 5627134]"
10824,gene-PA5008,5627131,5627865,PA5008,-,PA5008,"[5627131, 5627865]"
10826,gene-PA5009,5627865,5628671,waaP,-,PA5009,"[5627865, 5628671]"
10828,gene-PA5010,5628668,5629789,waaG,-,PA5010,"[5628668, 5629789]"
